sdv_user_id,Timestamp,steps,steps_goal,avg_heart_rate,max_heart_rate,minutes_moderate,minutes_vigorous,weight_kg,activity_label
1001,2023-04-11 00:00:00,22584,9375,77.0,128,130,35,116.4,over_exercise
1001,2023-04-12 00:00:00,23237,10921,76.7,124,140,30,116.6,energetic
1001,2023-04-13 00:00:00,34451,11403,78.7,126,145,75,116.3,over_exercise
1001,2023-04-14 00:00:00,13785,9528,75.3,123,120,10,116.3,energetic
1001,2023-04-15 00:00:00,13129,8746,75.5,121,120,5,116.2,energetic
1001,2023-04-16 00:00:00,16929,10419,76.3,123,160,5,116.2,energetic
1001,2023-04-17 00:00:00,20562,8136,76.3,124,105,40,116.3,over_exercise
1001,2023-04-18 00:00:00,19190,8814,76.5,122,150,15,116.3,energetic
1001,2023-04-19 00:00:00,18248,9135,76.0,122,130,10,116.3,energetic
1001,2023-04-20 00:00:00,27278,9221,78.0,128,175,35,116.4,over_exercise
1001,2023-04-21 00:00:00,33593,11759,78.5,127,130,75,116.1,over_exercise
1001,2023-04-22 00:00:00,24154,9938,76.8,129,75,65,116.1,over_exercise
1001,2023-04-23 00:00:00,23085,9999,76.6,130,110,50,116.1,over_exercise
1001,2023-04-24 00:00:00,24311,11425,76.8,128,130,40,116.0,over_exercise
1001,2023-04-25 00:00:00,21664,10564,77.1,126,155,25,116.1,energetic
1001,2023-04-26 00:00:00,19605,11066,75.9,131,80,50,116.2,over_exercise
1001,2023-04-27 00:00:00,12403,8129,75.1,113,125,0,116.0,energetic
1001,2023-04-28 00:00:00,23878,9564,76.5,127,120,45,115.9,over_exercise
1001,2023-04-29 00:00:00,11193,8556,74.8,100,115,0,116.0,healthy
1001,2023-04-30 00:00:00,17683,10286,76.1,123,145,10,115.9,energetic
1001,2023-05-01 00:00:00,20076,11489,76.5,122,140,20,116.0,energetic
1001,2023-05-02 00:00:00,20832,9168,76.5,124,160,15,115.8,energetic
1001,2023-05-03 00:00:00,27454,8929,77.7,127,165,40,115.9,over_exercise
1001,2023-05-04 00:00:00,15356,9535,75.0,125,65,40,115.8,over_exercise
1001,2023-05-05 00:00:00,26448,8217,77.4,128,160,30,115.8,energetic
1001,2023-05-06 00:00:00,22725,8620,76.8,124,130,40,115.7,over_exercise
1001,2023-05-07 00:00:00,21034,9506,76.7,125,145,15,115.8,energetic
1001,2023-05-08 00:00:00,20309,9811,76.4,129,125,30,115.6,energetic
1001,2023-05-09 00:00:00,19844,9043,76.1,128,125,25,115.6,energetic
1001,2023-05-10 00:00:00,27979,11895,77.0,128,80,80,115.7,over_exercise
1001,2023-05-11 00:00:00,12747,10807,75.1,114,110,0,115.6,energetic
1001,2023-05-12 00:00:00,23210,11458,76.7,128,125,35,115.5,over_exercise
1001,2023-05-13 00:00:00,17024,10373,75.9,117,160,0,115.4,energetic
1001,2023-05-14 00:00:00,20105,8836,76.4,125,130,20,115.4,energetic
1001,2023-05-15 00:00:00,32989,11506,77.6,127,120,60,115.5,over_exercise
1001,2023-05-16 00:00:00,13570,9612,75.0,124,105,10,115.5,energetic
1001,2023-05-17 00:00:00,59583,11874,80.2,129,95,160,115.6,over_exercise
1001,2023-05-18 00:00:00,10464,9439,74.7,106,95,0,115.4,healthy
1001,2023-05-19 00:00:00,19829,9591,76.1,126,115,30,115.4,energetic
1001,2023-05-20 00:00:00,13805,8320,75.2,118,120,0,115.2,energetic
1001,2023-05-21 00:00:00,36580,9230,77.9,129,100,90,115.3,over_exercise
1001,2023-05-22 00:00:00,26763,9771,77.1,130,130,50,115.5,over_exercise
1001,2023-05-23 00:00:00,14881,9438,75.4,123,130,10,115.4,energetic
1001,2023-05-24 00:00:00,11462,11557,74.8,115,125,0,115.2,healthy
1001,2023-05-25 00:00:00,15996,10342,75.5,116,140,0,115.3,energetic
1001,2023-05-26 00:00:00,19531,9263,76.2,128,120,25,115.0,energetic
1001,2023-05-27 00:00:00,17028,10288,75.9,121,145,5,115.1,energetic
1001,2023-05-28 00:00:00,15985,9104,75.7,125,145,10,115.0,energetic
1001,2023-05-29 00:00:00,18891,9492,75.9,121,165,5,115.1,energetic
1001,2023-05-30 00:00:00,38156,10610,78.8,130,80,105,114.9,over_exercise
1001,2023-05-31 00:00:00,14304,8048,75.1,127,95,10,115.0,energetic
1001,2023-06-01 00:00:00,28292,11834,77.0,127,80,70,115.0,over_exercise
1001,2023-06-02 00:00:00,24942,11001,77.1,128,145,35,114.9,over_exercise
1001,2023-06-03 00:00:00,19757,10333,76.2,124,130,25,114.8,energetic
1001,2023-06-04 00:00:00,27454,10754,77.2,124,165,25,114.8,energetic
1001,2023-06-05 00:00:00,14721,10294,75.3,125,100,15,115.0,energetic
1001,2023-06-06 00:00:00,21956,10987,76.4,129,125,35,114.9,over_exercise
1001,2023-06-07 00:00:00,35037,8736,78.5,127,125,75,114.9,over_exercise
1001,2023-06-08 00:00:00,17553,11923,76.2,122,175,5,114.8,energetic
1001,2023-06-09 00:00:00,36032,11201,78.1,128,90,95,114.6,over_exercise
1001,2023-06-10 00:00:00,18517,11844,76.0,123,95,35,114.8,over_exercise
1001,2023-06-11 00:00:00,23716,8220,77.1,128,155,35,114.6,over_exercise
1001,2023-06-12 00:00:00,30612,11491,78.2,125,150,55,114.7,over_exercise
1001,2023-06-13 00:00:00,16092,8930,75.6,126,95,30,114.8,energetic
1001,2023-06-14 00:00:00,28256,8694,77.2,125,170,35,114.5,over_exercise
1001,2023-06-15 00:00:00,19995,9056,76.3,127,120,30,114.5,energetic
1001,2023-06-16 00:00:00,19348,8938,76.2,124,110,35,114.6,over_exercise
1001,2023-06-17 00:00:00,33104,11200,78.1,125,110,85,114.7,over_exercise
1001,2023-06-18 00:00:00,19306,8839,75.9,127,100,40,114.4,over_exercise
1001,2023-06-19 00:00:00,31878,11231,77.9,126,165,35,114.6,over_exercise
1001,2023-06-20 00:00:00,24771,9671,76.6,128,90,60,114.5,over_exercise
1001,2023-06-21 00:00:00,18087,10477,75.9,127,120,25,114.4,energetic
1001,2023-06-22 00:00:00,30154,9184,77.1,127,110,65,114.5,over_exercise
1001,2023-06-23 00:00:00,38262,9009,78.4,128,105,100,114.5,over_exercise
1001,2023-06-24 00:00:00,21452,10087,76.4,126,130,30,114.3,energetic
1001,2023-06-25 00:00:00,26895,11475,77.2,128,110,65,114.2,over_exercise
1001,2023-06-26 00:00:00,17618,8734,76.1,126,170,5,114.3,energetic
1001,2023-06-27 00:00:00,22646,9693,76.7,125,140,30,114.4,energetic
1001,2023-06-28 00:00:00,22271,8733,76.3,128,70,65,114.2,over_exercise
1001,2023-06-29 00:00:00,18606,11250,75.8,125,120,25,114.2,energetic
1001,2023-06-30 00:00:00,14323,10029,75.7,114,145,0,114.2,energetic
1001,2023-07-01 00:00:00,10640,10972,74.7,119,105,0,114.1,healthy
1001,2023-07-02 00:00:00,11835,10340,74.7,124,90,10,114.3,healthy
1001,2023-07-03 00:00:00,30419,11732,77.1,128,135,45,114.0,over_exercise
1001,2023-07-04 00:00:00,14271,9944,75.4,125,120,10,114.2,energetic
1001,2023-07-05 00:00:00,28231,11174,77.5,128,125,65,114.2,over_exercise
1001,2023-07-06 00:00:00,22800,10403,76.7,128,140,35,114.2,over_exercise
1001,2023-07-07 00:00:00,26517,10712,77.3,125,135,35,113.9,over_exercise
1001,2023-07-08 00:00:00,27543,8233,77.4,123,185,25,113.9,energetic
1001,2023-07-09 00:00:00,8218,8567,74.4,102,60,0,113.9,healthy
1001,2023-07-10 00:00:00,37426,11413,78.5,128,140,75,113.8,over_exercise
1001,2023-07-11 00:00:00,17663,9160,76.0,121,160,10,113.8,energetic
1001,2023-07-12 00:00:00,16229,10256,75.6,122,160,5,113.8,energetic
1001,2023-07-13 00:00:00,19619,8278,76.0,124,105,30,113.9,energetic
1001,2023-07-14 00:00:00,28682,11067,77.6,127,115,70,113.9,over_exercise
1001,2023-07-15 00:00:00,24514,11350,76.6,127,85,70,113.7,over_exercise
1001,2023-07-16 00:00:00,47656,11993,78.9,131,75,130,113.7,over_exercise
1001,2023-07-17 00:00:00,28540,8636,77.7,126,150,55,113.8,over_exercise
1001,2023-07-18 00:00:00,24215,10980,76.9,128,115,50,113.7,over_exercise
1001,2023-07-19 00:00:00,24616,11924,76.6,125,130,30,113.7,energetic
1001,2023-07-20 00:00:00,27492,11354,77.3,126,130,50,113.4,over_exercise
1001,2023-07-21 00:00:00,24811,10116,77.1,126,165,30,113.5,energetic
1001,2023-07-22 00:00:00,15317,8824,75.5,129,130,10,113.5,energetic
1001,2023-07-23 00:00:00,20520,11180,76.0,130,115,40,113.5,over_exercise
1001,2023-07-24 00:00:00,17363,9309,75.5,125,130,10,113.3,energetic
1001,2023-07-25 00:00:00,24236,11573,76.5,124,105,40,113.4,over_exercise
1001,2023-07-26 00:00:00,33443,10955,78.0,128,125,60,113.5,over_exercise
1001,2023-07-27 00:00:00,8105,9620,74.4,106,65,0,113.4,healthy
1001,2023-07-28 00:00:00,32302,9610,78.0,129,150,50,113.4,over_exercise
1001,2023-07-29 00:00:00,23031,11381,76.2,125,100,35,113.4,over_exercise
1001,2023-07-30 00:00:00,22429,8180,76.5,127,90,55,113.1,over_exercise
1001,2023-07-31 00:00:00,17557,8201,75.7,124,110,20,113.3,energetic
1001,2023-08-01 00:00:00,22234,9580,76.2,125,125,30,113.2,energetic
1001,2023-08-02 00:00:00,19142,9824,76.1,122,150,15,113.3,energetic
1001,2023-08-03 00:00:00,20035,10708,75.9,123,110,30,113.2,energetic
1001,2023-08-04 00:00:00,36559,11208,77.7,128,95,80,113.2,over_exercise
1001,2023-08-05 00:00:00,20294,11396,76.0,123,135,15,113.1,energetic
1001,2023-08-06 00:00:00,15080,8882,75.5,124,135,10,113.1,energetic
1001,2023-08-07 00:00:00,23586,11418,76.3,126,110,45,112.9,over_exercise
1001,2023-08-08 00:00:00,30068,8477,77.3,127,155,50,113.0,over_exercise
1001,2023-08-09 00:00:00,23131,10499,76.4,126,135,35,113.0,over_exercise
1001,2023-08-10 00:00:00,22764,10740,77.2,126,150,20,113.0,energetic
1001,2023-08-11 00:00:00,29774,8269,77.4,128,115,70,112.8,over_exercise
1001,2023-08-12 00:00:00,17869,11610,75.3,124,60,40,112.9,over_exercise
1001,2023-08-13 00:00:00,30336,10374,77.7,127,130,60,112.8,over_exercise
1001,2023-08-14 00:00:00,14932,9216,75.4,122,125,5,112.9,energetic
1001,2023-08-15 00:00:00,22694,8558,76.7,126,170,25,112.8,energetic
1001,2023-08-16 00:00:00,26733,9237,77.5,123,180,20,112.8,energetic
1001,2023-08-17 00:00:00,22418,10838,76.1,130,75,50,112.7,over_exercise
1001,2023-08-18 00:00:00,30306,9143,77.6,128,110,70,112.8,over_exercise
1001,2023-08-19 00:00:00,27970,10481,76.9,127,110,65,112.6,over_exercise
1001,2023-08-20 00:00:00,38047,9908,78.5,126,140,75,112.6,over_exercise
1001,2023-08-21 00:00:00,21665,11193,76.2,124,145,25,112.6,energetic
1001,2023-08-22 00:00:00,26086,11361,76.7,127,105,55,112.7,over_exercise
1001,2023-08-23 00:00:00,35328,8868,78.1,129,150,60,112.7,over_exercise
1001,2023-08-24 00:00:00,16988,8803,75.9,122,140,10,112.7,energetic
1001,2023-08-25 00:00:00,22276,9180,76.6,128,115,45,112.3,over_exercise
1001,2023-08-26 00:00:00,22293,10491,76.4,124,125,40,112.6,over_exercise
1001,2023-08-27 00:00:00,24709,11025,77.0,125,105,50,112.4,over_exercise
1001,2023-08-28 00:00:00,20502,10366,76.2,126,130,35,112.4,over_exercise
1001,2023-08-29 00:00:00,20835,11046,76.0,127,110,25,112.5,energetic
1001,2023-08-30 00:00:00,18777,8865,76.2,124,155,15,112.4,energetic
1001,2023-08-31 00:00:00,12978,8303,75.0,123,105,10,112.5,energetic
1001,2023-09-01 00:00:00,18627,9906,76.1,121,150,10,112.2,energetic
1001,2023-09-02 00:00:00,16984,8004,75.9,126,150,5,112.2,energetic
1001,2023-09-03 00:00:00,32353,10058,78.1,126,155,60,112.2,over_exercise
1001,2023-09-04 00:00:00,15083,9831,75.4,127,115,10,112.1,energetic
1001,2023-09-05 00:00:00,26573,9193,77.4,126,180,20,112.1,energetic
1001,2023-09-06 00:00:00,28197,8012,77.1,126,130,55,112.2,over_exercise
1001,2023-09-07 00:00:00,20114,9662,76.4,127,150,15,112.2,energetic
1001,2023-09-08 00:00:00,23584,9671,76.8,127,160,35,112.1,over_exercise
1001,2023-09-09 00:00:00,38591,11301,77.7,128,110,80,112.1,over_exercise
1001,2023-09-10 00:00:00,37426,9816,78.0,125,115,85,112.0,over_exercise
1001,2023-09-11 00:00:00,27756,8992,77.2,128,145,45,111.9,over_exercise
1001,2023-09-12 00:00:00,44620,11539,78.7,128,95,105,111.9,over_exercise
1001,2023-09-13 00:00:00,16143,9669,75.8,123,125,15,112.0,energetic
1001,2023-09-14 00:00:00,35812,8030,78.2,130,140,80,112.0,over_exercise
1001,2023-09-15 00:00:00,26129,9266,76.5,127,100,50,111.9,over_exercise
1001,2023-09-16 00:00:00,18485,10718,76.1,126,130,20,112.0,energetic
1001,2023-09-17 00:00:00,19528,9423,76.0,125,125,25,111.9,energetic
1001,2023-09-18 00:00:00,28621,11366,77.2,130,145,45,111.9,over_exercise
1001,2023-09-19 00:00:00,15362,9180,75.5,128,135,10,111.8,energetic
1001,2023-09-20 00:00:00,19820,8953,76.5,124,135,25,111.6,energetic
1001,2023-09-21 00:00:00,20236,9840,75.8,129,105,35,111.8,over_exercise
1001,2023-09-22 00:00:00,11632,8150,74.7,110,120,0,111.7,healthy
1001,2023-09-23 00:00:00,38935,11806,78.3,124,140,75,111.5,over_exercise
1001,2023-09-24 00:00:00,20292,11654,76.2,122,145,20,111.6,energetic
1001,2023-09-25 00:00:00,26107,11876,76.5,126,85,65,111.7,over_exercise
1001,2023-09-26 00:00:00,18174,11156,75.4,126,85,35,111.5,over_exercise
1001,2023-09-27 00:00:00,14812,10757,75.4,107,140,0,111.6,energetic
1001,2023-09-28 00:00:00,24710,9707,76.7,126,90,60,111.5,over_exercise
1001,2023-09-29 00:00:00,31657,11706,76.9,128,90,75,111.4,over_exercise
1001,2023-09-30 00:00:00,21488,9416,76.3,124,155,15,111.5,energetic
1001,2023-10-01 00:00:00,30848,10410,77.4,128,95,70,111.4,over_exercise
1001,2023-10-02 00:00:00,26069,11565,77.0,126,120,45,111.4,over_exercise
1001,2023-10-03 00:00:00,11636,8194,74.6,117,110,0,111.4,healthy
1001,2023-10-04 00:00:00,17800,9230,75.7,126,115,20,111.5,energetic
1001,2023-10-05 00:00:00,33859,11770,77.6,129,100,80,111.4,over_exercise
1001,2023-10-06 00:00:00,25677,11543,76.6,129,95,65,111.4,over_exercise
1001,2023-10-07 00:00:00,17286,10335,75.7,123,145,5,111.3,energetic
1001,2023-10-08 00:00:00,33408,10037,77.8,128,125,75,111.3,over_exercise
1001,2023-10-09 00:00:00,10366,9613,74.3,116,95,0,111.3,healthy
1001,2023-10-10 00:00:00,18244,8852,75.8,121,115,20,111.1,energetic
1001,2023-10-11 00:00:00,26726,9467,76.8,126,120,50,111.1,over_exercise
1001,2023-10-12 00:00:00,25715,11784,76.1,127,80,60,111.4,over_exercise
1001,2023-10-13 00:00:00,21997,9871,76.5,126,135,25,111.2,energetic
1001,2023-10-14 00:00:00,25056,8147,76.5,128,120,45,110.8,over_exercise
1001,2023-10-15 00:00:00,13529,8491,75.3,114,125,0,110.9,energetic
1001,2023-10-16 00:00:00,12799,8698,74.9,105,105,0,111.1,energetic
1001,2023-10-17 00:00:00,14479,10367,75.1,121,95,20,111.1,energetic
1001,2023-10-18 00:00:00,28023,11874,77.0,127,105,60,111.0,over_exercise
1001,2023-10-19 00:00:00,22084,11928,76.4,123,155,20,110.9,energetic
1001,2023-10-20 00:00:00,32602,8564,77.6,128,140,55,111.0,over_exercise
1001,2023-10-21 00:00:00,16431,8565,75.9,123,145,10,110.8,energetic
1001,2023-10-22 00:00:00,21559,8395,76.5,128,155,15,110.8,energetic
1001,2023-10-23 00:00:00,14379,9108,75.4,113,155,0,110.9,energetic
1001,2023-10-24 00:00:00,29143,8608,77.9,127,195,30,111.0,energetic
1001,2023-10-25 00:00:00,11752,8151,75.1,112,120,0,110.9,healthy
1001,2023-10-26 00:00:00,16666,8282,75.9,113,165,0,110.7,energetic
1001,2023-10-27 00:00:00,11567,8346,74.6,104,115,0,110.7,healthy
1001,2023-10-28 00:00:00,11080,8542,74.6,111,100,0,110.7,healthy
1001,2023-10-29 00:00:00,13209,11087,74.8,122,105,5,110.4,energetic
1001,2023-10-30 00:00:00,16742,8703,75.6,117,160,0,110.7,energetic
1001,2023-10-31 00:00:00,22080,11858,76.7,126,155,15,110.6,energetic
1001,2023-11-01 00:00:00,8201,9038,74.3,98,85,0,110.4,healthy
1001,2023-11-02 00:00:00,16015,9483,75.3,126,125,15,110.3,energetic
1001,2023-11-03 00:00:00,32923,10429,77.6,128,100,90,110.2,over_exercise
1001,2023-11-04 00:00:00,24046,8261,76.8,127,195,15,110.6,energetic
1001,2023-11-05 00:00:00,31223,11648,77.4,127,145,45,110.4,over_exercise
1001,2023-11-06 00:00:00,19999,9349,76.2,126,135,20,110.4,energetic
1001,2023-11-07 00:00:00,11614,8972,74.6,120,110,5,110.4,healthy
1001,2023-11-08 00:00:00,31985,10351,77.8,127,125,70,110.5,over_exercise
1001,2023-11-09 00:00:00,15451,10001,75.0,127,100,20,110.3,energetic
1001,2023-11-10 00:00:00,21830,9373,75.9,127,110,40,110.4,over_exercise
1001,2023-11-11 00:00:00,30994,11744,77.0,125,75,80,110.3,over_exercise
1001,2023-11-12 00:00:00,35740,11411,77.7,128,125,75,110.3,over_exercise
1001,2023-11-13 00:00:00,21685,11979,76.2,124,125,30,110.2,energetic
1001,2023-11-14 00:00:00,18725,8595,76.0,122,155,10,110.2,energetic
1001,2023-11-15 00:00:00,19273,8635,76.6,122,170,10,110.1,energetic
1001,2023-11-16 00:00:00,30925,9723,77.9,126,200,30,110.3,energetic
1001,2023-11-17 00:00:00,29683,8478,77.4,127,155,45,110.0,over_exercise
1001,2023-11-18 00:00:00,7645,10918,74.3,100,80,0,110.0,healthy
1001,2023-11-19 00:00:00,24119,11505,76.6,128,125,35,110.0,over_exercise
1001,2023-11-20 00:00:00,15166,9683,75.6,123,120,5,110.1,energetic
1001,2023-11-21 00:00:00,17358,10074,75.4,126,90,30,110.0,energetic
1001,2023-11-22 00:00:00,18999,9077,75.8,123,135,20,110.0,energetic
1001,2023-11-23 00:00:00,25206,10516,77.0,127,140,40,109.8,over_exercise
1001,2023-11-24 00:00:00,11966,8091,74.5,116,110,0,109.8,healthy
1001,2023-11-25 00:00:00,29527,11608,77.2,129,105,75,109.9,over_exercise
1001,2023-11-26 00:00:00,12601,11191,74.6,126,100,5,109.7,energetic
1001,2023-11-27 00:00:00,22198,10628,76.2,125,125,35,109.9,over_exercise
1001,2023-11-28 00:00:00,29787,10569,77.7,125,130,70,109.8,over_exercise
1001,2023-11-29 00:00:00,25004,8862,77.2,128,175,30,109.7,energetic
1001,2023-11-30 00:00:00,20740,11196,76.4,127,150,15,109.7,energetic
1001,2023-12-01 00:00:00,9741,8826,74.3,110,100,0,109.7,healthy
1001,2023-12-02 00:00:00,16739,9570,75.2,125,115,10,109.6,energetic
1001,2023-12-03 00:00:00,27362,11123,76.5,124,95,60,109.7,over_exercise
1001,2023-12-04 00:00:00,47288,9888,79.3,129,105,120,109.7,over_exercise
